node_id,X_m,Y_m,Z_m,Temperature_C
150,0.10222625,0.012611002,0.0,648.35
151,0.0977263400000004,0.011880011,0.0,623.17
152,0.0977940500000001,0.01132901,0.0,623.0
153,0.0973119700000007,0.011583001,0.0,623.03
154,0.10393333,0.014729008,0.0,646.03
155,0.10417699,0.015153006,0.0,645.68
156,0.10440206,0.014588014,0.0,647.35
157,0.16909313,0.043178007,0.0,362.07
158,0.16945934,0.043107003,0.0,362.0
159,0.169145100000001,0.042796001,0.0,362.14
160,0.17334604,0.044649005,0.0,360.9
161,0.173733230000001,0.044180006,0.0,361.05
162,0.17316818,0.044175014,0.0,361.11
163,0.17812633,0.03011401,0.0,391.61
164,0.17788124,0.02961801,0.0,392.08
165,0.177628990000001,0.03011401,0.0,392.57
166,0.0937643000000001,0.015000001,0.0,620.73
167,0.0935392300000002,0.014307007,0.0,621.29
168,0.0932302400000005,0.014877007,0.0,620.73
169,0.174009320000001,0.051079005,0.0,357.75
170,0.17344617,0.050739006,0.0,358.01
171,0.17336225,0.051170007,0.0,357.8
172,0.0111851600000001,0.010056004,0.0,689.8
173,0.0109090800000002,0.010110006,0.0,689.93
174,0.0111041000000007,0.010382012,0.0,689.38
175,0.174205300000001,0.059356004,0.0,353.84
176,0.173548220000001,0.059563011,0.0,353.92
177,0.17407226,0.060051009,0.0,353.62
178,0.17755937,0.058058009,0.0,353.52
179,0.17736101,0.05760701,0.0,353.8
180,0.17688226,0.058012009,0.0,353.72
181,0.171449180000001,0.041429013,0.0,362.02
182,0.17080736,0.040999011,0.0,362.18
183,0.17061138,0.041795001,0.0,362.06
184,0.17573499,0.059104011,0.0,353.53
185,0.17602109,0.060113013,0.0,353.02
186,0.176638120000001,0.059449002,0.0,353.11
187,0.17658519,0.061001003,0.0,352.45
188,0.17581129,0.061764002,0.0,352.46
189,0.17665004,0.062071011,0.0,352.0
190,0.18814611,0.045610011,0.0,360.84
191,0.18781137,0.045544014,0.0,360.82
192,0.18803501,0.045881003,0.0,360.62
193,0.185165400000001,0.039953009,0.0,365.38
194,0.185182090000001,0.04092601,0.0,364.41
195,0.18587923,0.04050301,0.0,364.96
196,0.17838621,0.040309012,0.0,362.57
197,0.17788505,0.040312007,0.0,362.46
198,0.17813634,0.040767014,0.0,362.41
199,0.173213000000001,0.042522013,0.0,361.62
200,0.17253494,0.042193011,0.0,361.75
201,0.172590250000001,0.042858005,0.0,361.58
