grid_i,grid_j,X_m,Y_m,Temperature_C,filled_by_nearest
0,49,0.08809708668507128,0.0064173315170182495,640.6458825800946,0
0,50,0.09050150925332398,0.0063733837840731986,661.0374186519256,0
0,51,0.0924955810711749,0.0066987777789437675,685.6950156172522,0
0,52,0.0935926921229421,0.007144507568940728,713.270324081399,0
0,53,0.09358604312206605,0.007818118328324748,705.4367962368578,0
0,54,0.09290945008086497,0.008691785299550312,691.1865212662747,0
0,55,0.09212814455330147,0.009592135858624295,664.185239841904,0
0,56,0.0918890947556578,0.010242190544835127,631.7941810642697,0
0,57,0.09266807589776105,0.010516186650488842,623.5132135723424,0
0,58,0.09414901143969612,0.011153459480238343,622.6209031693511,0
0,59,0.09609797125243252,0.01198159706225694,622.846964483529,0
0,60,0.09799490677461611,0.012583903755201662,623.1196650512808,0
0,61,0.09943792729739642,0.012845608455529624,627.0997693087428,0
0,62,0.10063471616525566,0.012913366017898484,636.4849422804821,0
0,63,0.10190789189171194,0.012656355465141877,649.2880623698685,0
0,64,0.10331389811871149,0.012275878377679367,651.2881797859754,0
0,65,0.1048295741010607,0.01207017212488303,654.559458955009,0
0,66,0.10635466219727194,0.012366876602758526,673.6496172309559,0
0,67,0.10819738785932605,0.01301190235123819,649.1042382547336,0
0,68,0.1102406047148799,0.013651060927673205,623.2578968290983,0
0,69,0.11231518435488219,0.01395159998182053,605.9040509476171,0
0,70,0.1144466145707125,0.014118222153374025,592.093698513798,0
0,71,0.11671580998706818,0.014124713476111214,581.4702115955836,0
0,72,0.11892529146372921,0.014109768290452634,573.9086612257463,0
0,73,0.12109562575704189,0.01400380835543599,569.3226438285933,0
0,74,0.12322324018450963,0.013668194855744924,567.7661891217889,0
0,75,0.12532552421202267,0.013193943332775104,569.2338407156195,0
0,76,0.1274201964281344,0.012678690267046011,573.3292627021385,0
0,77,0.12952497542139818,0.012220072139077127,580.7828239851457,0
0,78,0.13168053347608102,0.011892771733674373,598.3967869710201,0
0,79,0.13414447132818047,0.011730361287226744,623.1009515354693,0
0,80,0.13646134802527823,0.011848430336981748,624.8072074983031,0
0,81,0.13817118079237878,0.012203040320822733,624.1578935877167,0
0,82,0.1389657397818325,0.012611276763727784,623.6459760354336,0
0,83,0.13858779158430554,0.012907023329675008,623.6037287549516,0
0,84,0.13720829748785837,0.013441147101147046,622.9855271631345,0
0,85,0.13552757001467175,0.014168881601969285,618.0229974593553,0
0,86,0.13433083968927073,0.01489744741655731,593.0694838278428,0
0,87,0.13433119684965203,0.015506205315855025,562.6088946603307,0
0,88,0.13539791786750988,0.016042495087076607,535.5061298954374,0
0,89,0.13726051818803364,0.01657393830902233,519.7595271955182,0
0,90,0.13958944955400732,0.01691554237066645,506.0972894387588,0
0,91,0.14190233326540502,0.01696375334647292,494.48672026070625,0
0,92,0.14405450766420058,0.01713008420106643,482.92405101080016,0
0,93,0.14633679511651684,0.017176049456846292,471.50484126655476,0
0,94,0.1484547532223025,0.017335235434199122,464.1063846227241,0
0,95,0.15030339123853623,0.017744282539967487,459.2747693231033,0
0,96,0.15213060776162762,0.01840604873852588,456.93309783234145,0
0,97,0.15367659887891055,0.019032009468286044,455.635989117366,0
0,98,0.15508343338217773,0.019310152722675174,449.1614495312798,0
0,99,0.15652407825714204,0.01923656361241511,445.4626764046327,0
0,100,0.15791725788762198,0.01906195871242958,443.9865977744996,0
0,101,0.1592696448888194,0.018949106366259058,443.8870685302873,0
0,102,0.16012747714700715,0.019472861833353425,443.83063317340856,0
0,103,0.16055930339753008,0.020865378298791946,443.6174524742365,0
0,104,0.16102063494015464,0.022964591682981993,442.4152249319981,0
0,105,0.16154804375266468,0.024982778402117066,439.46872152202167,0
0,106,0.1625092252404088,0.026529320419942576,432.5309385797587,0
0,107,0.16407601903218302,0.027474361761501632,424.68116392923486,0
0,108,0.16607059721458256,0.027943324146163608,418.3328056321717,0
0,109,0.16833606064448814,0.028040700523012503,413.03218263365073,0
0,110,0.17062756194739714,0.02795893207251555,408.086402002572,0
0,111,0.17284050775705315,0.02790215623638392,403.39246334303306,0
0,112,0.17503369579277137,0.027921628095081932,398.8764302879949,0
0,113,0.17722673354428184,0.027943205965573738,394.4673177354548,0
0,114,0.17941977129579229,0.02796478383606554,390.0982271927384,0
0,115,0.18161280904730276,0.02798636170655734,385.7076959434506,0
0,116,0.18380584679881326,0.028007939577049147,381.4716842824059,0
0,117,0.18599888469651377,0.028029444841236838,378.3381481205465,0
